Severity,Start_Lat,Start_Lng,City,County,State,Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Year,Month,Day,Hour,Day_of_Week
3,37.389725,-122.163216,Los Altos,Santa Clara,CA,US/Pacific,68.0,73.0,29.74,10.0,NNW,13.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,6,29,19,Tuesday
2,41.960831,-87.743172,Chicago,Cook,IL,US/Central,79.0,77.0,29.33,10.0,SW,9.0,Partly Cloudy,False,False,False,False,False,False,True,False,True,False,False,False,False,Day,2021,8,25,8,Wednesday
2,38.010624,-122.015495,Concord,Contra Costa,CA,US/Pacific,66.0,14.0,30.18,10.0,VAR,3.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,2,25,12,Thursday
2,39.70203,-104.940773,Denver,Arapahoe,CO,US/Mountain,77.0,28.0,24.29,10.0,WSW,6.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,2019,6,14,9,Friday
2,29.71361,-95.368858,Houston,Harris,TX,US/Central,55.0,74.0,30.13,10.0,N,9.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,1,31,10,Friday
3,41.223785,-96.004433,Omaha,Douglas,NE,US/Central,63.0,67.0,30.14,10.0,North,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2016,8,31,18,Wednesday
2,43.129719,-83.459526,Columbiaville,Lapeer,MI,US/Eastern,41.7,69.0,30.18,10.0,SE,9.2,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2017,2,20,19,Monday
2,39.10685,-77.562538,Leesburg,Loudoun,VA,US/Eastern,69.8,43.0,30.02,10.0,Calm,7.0,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,2017,2,6,20,Monday
3,28.34572,-81.533836,Kissimmee,Osceola,FL,US/Eastern,79.0,69.0,29.81,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,10,17,17,Thursday
3,26.165884,-80.16024,Fort Lauderdale,Broward,FL,US/Eastern,62.1,100.0,30.04,4.0,Calm,7.0,Patches of Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2017,12,21,5,Thursday
2,34.47303400000001,-79.632599,Blenheim,Marlboro,SC,US/Eastern,41.0,100.0,30.21,10.0,Calm,7.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2018,10,23,5,Tuesday
3,33.461849,-112.119865,Phoenix,Maricopa,AZ,US/Mountain,62.0,32.0,28.7,10.0,W,9.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,2,1,16,Saturday
3,39.29512800000001,-84.483757,Cincinnati,Hamilton,OH,US/Eastern,37.0,96.0,29.71,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2021,5,13,6,Thursday
3,41.781845,-71.423515,Cranston,Providence,RI,US/Eastern,51.0,96.0,29.87,10.0,N,6.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,2020,10,28,16,Wednesday
2,30.355551,-97.7155,Austin,Travis,TX,US/Central,78.1,52.0,29.87,10.0,South,10.4,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,11,1,15,Wednesday
2,33.896049,-80.19912,Sumter,Sumter,SC,US/Eastern,46.0,100.0,30.1,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,10,24,8,Thursday
2,43.43685900000001,-84.014664,Saginaw,Saginaw,MI,US/Eastern,63.0,46.0,29.48,10.0,NE,12.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,5,21,16,Tuesday
2,47.571449,-122.360771,Seattle,King,WA,US/Pacific,59.0,75.0,29.87,10.0,South,8.1,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,2016,4,10,10,Sunday
2,36.153179,-86.846031,Nashville,Davidson,TN,US/Central,47.0,90.0,29.23,1.0,NNE,15.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,5,2,8,Saturday
2,40.356178,-74.486954,Dayton,Middlesex,NJ,US/Eastern,50.0,89.0,30.56,10.0,Variable,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,3,10,6,Friday
2,37.255787,-121.87307,San Jose,Santa Clara,CA,US/Pacific,64.4,56.0,29.88,10.0,NW,13.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2018,5,6,18,Sunday
3,41.310219,-74.125305,Highland Falls,Orange,NY,US/Eastern,63.0,88.0,29.52,7.0,SE,8.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,6,22,14,Wednesday
2,47.608425,-122.327377,Seattle,King,WA,US/Pacific,66.0,59.0,30.26,10.0,East,3.5,Mostly Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,2016,8,9,14,Tuesday
2,38.64217,-121.430222,Sacramento,Sacramento,CA,US/Pacific,64.0,64.0,29.79,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,10,8,7,Friday
2,32.823738,-96.790337,Dallas,Dallas,TX,US/Central,87.1,61.0,30.16,10.0,South,5.8,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,2016,7,20,9,Wednesday
3,38.773312,-90.31691,Florissant,St. Louis County,MO,US/Central,43.0,86.0,29.42,10.0,ESE,7.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,2019,10,18,6,Friday
2,26.68218,-81.881577,North Fort Myers,Lee,FL,US/Eastern,62.0,84.0,30.1,10.0,ESE,5.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,2019,11,27,7,Wednesday
2,41.967945,-71.504684,North Smithfield,Providence,RI,US/Eastern,35.0,100.0,29.51,1.0,E,9.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,12,30,10,Monday
3,26.258688,-80.134605,Pompano Beach,Broward,FL,US/Eastern,84.0,79.0,29.89,10.0,ENE,13.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,10,15,14,Thursday
2,34.671532,-87.564056,Leighton,Colbert,AL,US/Central,87.0,32.0,29.41,10.0,VAR,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,6,15,15,Tuesday
2,37.681759,-122.095818,Hayward,Alameda,CA,US/Pacific,61.0,78.0,29.89,10.0,W,5.0,Mostly Cloudy,True,False,True,True,False,False,False,False,True,True,False,False,False,Day,2020,7,28,9,Tuesday
